FTRGTCDUR,G1
FTRGTCDUT,G2
FTRGTCDUV,G3
FTRGTCDUX,G4
FTRGTCDUY,G5
FTRGTCDUZ,G6
FTRGTCDV0,G7
FTRGTCDV1,G8
FTRGTCDV2,G9
FTRGTCDV3,G10
FTRGTCDV4,G11
FTRGTCDV5,G12
FTRGTCDV6,G13
FTRGTCDV7,G14
FTRGTCDV8,G15
FTRGTCDV9,G16
FTRGTCDVA,G17
FTRGTCDVB,G18
FTRGTCDVC,G19
FTRGTCDVD,G20
FTRGTCDVE,G21
FTRGTCDVF,G22
FTRGTCDVG,G23
FTRGTCDVH,G24
FTRGTCDVI,G25
FTRGTCDVL,G26
FTRGTCDVM,G27
FTRGTCDVO,G28
FTRGTCDVP,G29
FTRGTCDVQ,G30
FTRGTCDVR,G31
FTRGTCDVS,G32
FTRGTCDVT,G33
FTRGTCDVV,G34
FTRGTCDVW,G35
FTRGTCDVX,G36
FTRGTCDVY,G37
FTRGTCDVZ,G38
FTRGTCDW4,G39
